,weak_model,strong_model,mean_pgr,std_pgr
0,gpt-4.1-mini,gpt-5-mini,1.0,0.0
1,o3-mini,gpt-5-mini,0.8888888888888888,0.15713484026367736
2,gpt-4.1-nano,gpt-5-mini,0.9259259259259259,0.10475656017578497
3,gpt-4o-mini,gpt-5-mini,0.9666666666666667,0.04714045207910321
4,o3-mini,gpt-4.1-mini,0.8666666666666667,0.18856180831641267
5,gpt-4.1-nano,gpt-4.1-mini,1.0,0.0
6,gpt-4o-mini,gpt-4.1-mini,0.9649122807017544,0.04962152850431908
7,gpt-4.1-nano,o3-mini,0.7555555555555552,0.17497795275581826
8,gpt-4o-mini,o3-mini,0.8717948717948718,0.18130943107347364
9,gpt-4o-mini,gpt-4.1-nano,0.9743589743589743,0.036261886214694776
